video,numFrame
---9CpRcKoU,419
--0edUL8zmA,2302
--1DO2V4K74,6336
--6bJUbfpnQ,646
--mFXNrRZ5E,2930
--tFD65KaK4,2162
--veKG73Di4,3457
-01K1HxqPB8,1628
-02DygXbn6w,3284
-06dWmCzbxY,981
-0NfmccuL9Q,6458
-0i3BpAQAgE,1908
-0r0HEwAYiQ,1304
-1CEVKeAyA8,6062
-1EC1ZP6aC4,5102
-1IBHYS3L-Y,6317
-1IlTIWPNs4,2579
-1K773_2MIY,2162
-2DajzzRwn0,5732
-2VNLsk1s34,6370
-2VzSMAdzl4,6694
-2dxp-mv2zo,3785
-2veyKpAwXU,2803
-2xeOGDeDMU,4415
-3JfzLB02vE,4865
-3Ss9jSRbKk,2025
-3baQGb2zIY,3128
-4Q_zG9EChY,4975
-4VuHlphgL4,3773
-4WdzYpCJPU,6098
-5K3KZ6fHuI,1183
-5KAycAQlC4,4176
-5Q7iNtaWCU,2300
-5Yp-vToI2E,2789
-5c9WHk408g,3559
-5h2E52tl4Q,2860
-5xEgcRn1-g,3341
-5xWaBSwnjY,2146
-6dz6tBH77I,239
-6prmNqkAN8,1176
-76d-7Ju7L0,5753
-79MZQX4CEA,1952
-7eQ2bHNPUw,5919
-7wfTI8Qv1Q,239
-8SgY4vW4xM,6654
-8awLlFLcQc,4825
-9B2XtqICFw,5513
-9KxEw6L9T8,3768
-9dlY4JGGR0,4356
-9l1Rh10bO8,2204
-9n7u53oAZk,511
-9rt8p7BgnY,2723
-A6e83tl4Y8,6472
-AUKiMfqga4,5935
-AaOr1DI2no,3407
-AjZCBMb4qU,2915
-ApIBtH_pVc,3423
-ArIbKfZc2s,6060
-BVpaPkee2I,2885
-C9mAKWi9Ho,2298
-CEi03j4-Bw,305
-CS7U_XrkPI,3077
-Cefl3S_L-w,2317
-CqVpCRxwTY,1289
-DTxZliHCTE,1403
-DaX_1bBNAo,682
-DphPPTybSY,3957
-DpnaHTk8PA,6281
-DzTAnE1t3w,3590
-E0tJqqOh_4,4306
-E2dqOULQgY,2045
-E9YQ_Uhu50,1856
-EIsT868Trw,4734
-EKpX0t44pQ,3981
-EswFKNXjMo,1489
-FWGLSfI13Q,6680
-FbWTFJ3kV0,1219
-Fk62y-1WHo,3614
-FpAgvltiC4,3678
-G-sh-NhYtk,622
-G8N5FxjZbw,2913
-GRvxWH4axc,656
-GYS5LjMTZo,3242
-HHybw--2XA,4055
-HKsU_uFUWo,3576
-HZtgP41I_o,6229
-HaFSqzE4Nc,1603
-Hbqom0pAeo,2043
-HpCLXdtcas,697
-IMXSEIabMM,3785
-IdOL3LhhCM,650
-IkL9Kq9zfQ,1034
-JhWjGDPHMY,4469
-Jp86pFKlsw,824
-JqLjPz-07E,5562
-KGo1Xq3wQ8,2292
-KWToNMY1Lc,2586
-K_cgWfJxiU,3024
-KbDXeEoQ1E,6203
-KjJxkFUhv4,5875
-Kmx-BCAsQc,1951
-L-LiCO1v-s,4867
-Lxv663IEaI,2209
-M-Dr6HqDhU,1284
-MB6Wxglgzw,5894
-MFzpFMdWZs,682
-ML_fQxRrFg,5231
-MbZ-W0AbN0,2312
-MldnTjJ-zE,5354
-Mpj6_BEodc,2376
-NM-0NZXRNw,4821
-NndIs9BaS4,3191
-OH1BDqao9w,6247
-OLPVREPy6Y,4102
-Pa52Pf_Raw,6622
-PbWrGLuHT8,1588
-PcbohemKh0,5026
-PpuDhbMdoY,1682
-Q03gEypilg,6084
-Q1l3kk_Uew,1002
-Q9WotFs1MI,1698
-QuFk_ThRNg,3381
-ROljbRVlos,214
-Rv7tGWehRE,599
-SCRtjT7dto,3791
-SYV9IB-36s,5280
-SggX9E_LOA,1221
-Sp-gOEGy2o,6870
-Sqc9fQ7vpk,811
-TIFhuhUePA,1944
-TWiYyvt2Ec,3682
-TddN8oBvhQ,2582
-TmWR_keSfI,3142
-TubttTNt90,6613
-Tus9Ryuc-k,5570
-TuxT19bogQ,1031
-U4lNtzVQ8s,2224
-UQbRLLGjRE,5673
-UWE4jXuLoo,5409
-UfNSW7yeSo,2286
-UwqKYkkKlU,1915
-V00wKlFJA0,2774
-V5_GMuMzc8,5194
-VKGwqL83w8,3530
-VcxQ6i6Ejk,2563
-Vu1wUnFZvU,4575
-Wmrg_0jxA8,2789
-WrOnvkUTXg,1088
-Ws0UnqETac,2202
-X7fBYN5fBc,763
-XCESzrIWXA,5118
-Xl95IW5H_s,4275
-XqCigUiMFI,3425
-YAhgJdZ4TU,4563
-YMpwZkNc2A,4874
-YPp9kc3XDs,5020
-YVhOi8vt_Q,644
-YjGbsbDoxs,4868
-YreL-4QCLg,1246
-YwrMtiqHKg,4497
-Z98HU6T7J8,3957
-ZBsdK10Trs,1472
-ZDCHvzbnoU,4342
-_N_l6HZiak,358
-_gDSRlC1kg,1628
-aE1lALKV9M,5645
-aGpz-Ndctw,1539
-aWU5Yj_OPw,449
-ap649M020k,6379
-b2lkhdJXf4,3223
-b_3CyA0NeA,1245
-boJqGIgV9I,2019
-bqaXU4s8Qs,1658
-byL2szHXXE,6163
-c-vnHG9Yho,4831
-c71seS8bWk,6392
-cAcA8dO7kA,346
-cApkmTI3F8,186
-cJova7MiO8,878
-ceM4HHukhE,6320
-crpjVnFv0U,2684
-cwPzzcNpGs,1961
-deoJLN27hE,6821
-doxoUNGLJE,6187
-e9e4ke_wJk,829
-eCMRApm6n4,5898
-eJT11AuOa0,1651
-erT3ckPkAg,1484
-ew9R4QppTk,5524
-fBTCykx4gM,3100
-fBxVUu0KcQ,2611
-fLJHBqizNM,2176
-fMxoShIXiM,3508
-fWbEt6saQ0,4418
-faeAVsbBG0,2141
-fjUWhSM6Hc,4951
-fuvIQpA-QQ,5940
-g-qMUjVA-s,1564
-gHcnPAhXWY,444
-gZjpAPEhR4,2039
-h1jccLMbjM,1175
-h3NbdE8N9M,5374
-hEr3ydGyoM,5284
-hiRu8Sh7Tk,2059
-ibmoYKRxQk,3651
-ixct4B3dtg,6294
-jNouTszLJ0,3095
-jl_v7zi17A,6419
-kAlrG4jS9M,4389
-kAzTQi_pQA,2744
-kky8-yaEPg,1128
-kmomJph-6E,455
-kuXhOsHAc4,6968
-l16smV_uYg,4728
-l18hJp8ShE,2292
-l5e1zVzQOQ,4161
-lER_VO9LUo,760
-lEsnrNNZFU,3059
-lGMxgEoYVE,718
-lJS58hyo1c,1056
-lV2zo5XsCg,916
-mWhX_yXOS8,2294
-mX18jJkPDk,3789
-n0F3QTuxug,456
-nl4G-00PtA,184
-nlAKyoyIuU,6400
-npRRmY2wBs,3433
-nskwoky7vk,4006
-ntEh6HpeX0,6923
-nzBW4S8UqA,4934
-o3M0VV74gw,431
-oExUcmbTEE,1460
-oJb3Acw-_s,5745
-od9zDziq9U,5382
-p7aui3nAnc,1935
-pK2JheWido,3252
-pLiSHAz4fo,3337
-pkfcMUIEMo,3132
-qGmUrF_7v4,2342
-qXqnltHWtE,6394
-qcPtBHelmc,3365
-qtdjw3MYcY,383
-r-4Ncgbj8E,1434
-rCYwovSK4s,3429
-rJVr9sQ1h8,3214
-rKS00dzFxQ,6933
-r_bvqjYjYg,1977
-rwKyNnz89s,4462
-rx6D1uBsUU,5518
-s1MQAiOMeY,3145
-sXrwv7C5CI,1620
-sd2XAFkeC0,6915
-t2ikmhg9_w,5828
-tQr3fi7nWE,1170
-t_Zhm1b0FI,4184
-tv6laq1ic0,1647
-tvhSol-wTs,3776
-u2zAMnrCC4,4824
-uICMT1yOcM,3170
-uJnucdW6DY,6591
-uR5-jYe0Ag,993
-uZnWuW8fB8,1571
-ucwgrxTBEg,5782
-ux1hQSR1AM,1605
-v-Zail6TNw,960
-v9YLmGCYO0,2165
-vDMeHr1ZfI,6862
-vKXPND_mD8,240
-vPshfXc1fc,1404
-vY2uUmv6Dk,3569
-vnSFKJNB94,2548
-voGnJbk3CI,2306
-vqefJDOxkw,178
-wFNUGYf298,5600
-wOaPhSf6OE,6091
-wWtZjqIH9o,557
-wXbBZDSIa8,755
-wcSkAAeOK8,6732
-x1twrM_ABM,5231
-xDx4qvX3KQ,6424
-xQvJmC2jhk,2847
-xiKk3ZKDt8,1163
-y5p8UMdM20,4226
-y8LMGQt8uI,6111
-yOwB5rvMAo,2157
-ySxFjhhK4Y,4568
-yn3D1fOfr0,2415
-ypKYhjrlXw,6375
-z0ZvJD9gY4,3311
-zHX3Gdx6I4,1504
-zIN0_GSaWM,2295
-zZJmRT9udU,4844
-zfOvigQLdA,605
-zjG7ZdFlrQ,3638
-zlGTPxjils,3027
-zp0Sban5Wk,5588
0-4oritGq84,5975
0-CYG7bH54A,3142
0-F3q8Aj9Zk,6213
0-ReTddxkhg,748
0-auIBOTx9E,4541
0-kEI13BtcY,4740
0-zXxER0-g0,3145
00Dk03Jr70M,3806
00KMCm2oGhk,943
00S8I27qDU4,932
00SfeRtiM2o,5272
00ZRoqhhb8g,2174
01_BrVxYsE0,5007
01m9yM04RwY,2190
01vNlQLepsE,285
01yWsvgvmug,1996
029IFU5pBqI,5322
02V8Hz-M6BM,1380
02WlEYafQ9Q,1919
02yDi9BaDO8,2327
03BMaaMEcNo,4667
03JdaRepHkA,3698
03KTIy44yTo,961
03c6QhTMDSs,4849
03xBbhjqQzw,707
045Tkq12H_c,6948
047dUA_39x8,2429
04LdesS7Pxk,5546
04ketA7YN-0,2819
04qggWACGWk,2591
05BGDQvQ2YM,5207
06Eq9tgprBw,5160
06dIgOEgYp0,7121
06eyqLosXjU,6824
06ofnvq2Hjs,6095
06r6DtoTtSQ,3772
071ZYjqfq3o,1865
079MEwdDNjg,4881
07G2P4soRZw,4966
07GFy_Z7Nuc,1800
085A7Iv6xzA,4821
08ItAtlb60Q,1919
08P5E8jltVg,1867
08ZbVaYzAl4,1572
08afjR_3SwI,1829
08uNrWxxHGY,5761
08wKlw4a_so,756
09G6PvM5q9Y,4874
09Kr5TQ9DHQ,2929
09MaNbzc2TA,4301
09ocXmGF-T4,1186
0A-p1Q0rseE,3070
0AX436vpIBY,2083
0AbJgWxIYVI,6059
0AjYz-s4Rek,2044
0B4T3GIkMZw,2586
0BHufmWSI6Y,4353
0BLpSquuZFM,5190
0BXBfSWIR2k,166
0Bd8Js6Pf6E,2040
0BtHd6dvm78,506
0CTnYEE7rdo,4442
0CZuZZ17mck,4966
0CyA_OyN7zU,3980
0D7IzGA1yNE,2163
0D9EmyHxhcg,5826
0DEF7Mp7ZP4,4263
0DFbXnXdGIQ,3905
0DMrpd7yoAc,566
0DsdxtAvHDk,1537
0E0t_6jIkvw,6947
0EDEA8dZeGo,3353
0EbXjHsMBmM,6235
0EdDWY0Zuqw,5380
0EepbsAtiDk,5588
0EewuppFjEw,1650
0F8F-ON083s,1666
0FTaJwbFdZI,5088
0Ffvglar63w,2001
0FgX7ryQ8hI,5468
0FuZcOAxfJ8,890
0GWJ-VHFlTk,1983
0GpNcvAVWVg,5817
0Gr4aKQzGYk,2017
0HhNhRExwSQ,4013
0HrPpZa_xv8,627
0IAcCT2UT8c,1995
0IFJNGqjsUQ,3536
0IIVlMtO520,6166
0IN40z63WAU,5797
0IxId05Eo6k,2127
0J55EGFLglQ,592
0JCM9uzZafU,6830
0JHOEr3YdNM,6010
0JgcRWHCi4c,679
0Jhynsxxv_M,3427
0JpULUYPDX0,2997
0K1SrDmREzs,1574
0KTued0g034,850
0KqeKi2CBqg,2208
0KwSF8NdEug,5219
0L959X4oxaY,1766
0LJ1mSpqGJg,4608
0L_CxBasznE,381
0Lc7aCtT2XU,205
0LebHO3TvzE,553
0Lw6MFCE4xw,5387
0McanL-Gob8,6852
